Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
AMZN,AMAZON COM INC,Equity,2.07,620.75,"153,143.00","95,063,517.25","95,063,517.25",Consumer Discretionary,"2,000,019.00",US0231351067,NASDAQ
CMCSA,COMCAST A CORP,Equity,1.3,61.84,"964,818.00","59,664,345.12","59,664,345.12",Consumer Discretionary,"2,044,545.00",US20030N1019,NASDAQ
DIS,WALT DISNEY,Equity,1.28,98.63,"595,261.00","58,710,592.43","58,710,592.43",Consumer Discretionary,"2,270,726.00",US2546871060,New York Stock Exchange Inc.
F,F MOTOR,Equity,0.44,13.09,"1,547,094.00","20,251,460.46","20,251,460.46",Consumer Discretionary,"2,615,468.00",US3453708600,New York Stock Exchange Inc.
FOX,TWENTY-FIRST CENTURY FOX INC CLASS,Equity,0.11,29.79,"170,200.00","5,070,258.00","5,070,258.00",Consumer Discretionary,BBM4S80,US90130A2006,NASDAQ
FOXA,TWENTY FIRST CENTURY FOX INC CLASS,Equity,0.29,29.85,"444,189.00","13,259,041.65","13,259,041.65",Consumer Discretionary,BBM4S68,US90130A1016,NASDAQ
GM,GENERAL MOTORS,Equity,0.37,30.72,"557,732.00","17,133,527.04","17,133,527.04",Consumer Discretionary,B665KZ5,US37045V1008,New York Stock Exchange Inc.
HD,HOME DEPOT INC,Equity,1.47,134.37,"502,836.00","67,566,073.32","67,566,073.32",Consumer Discretionary,"2,434,209.00",US4370761029,New York Stock Exchange Inc.
LOW,LOWES COMPANIES INC,Equity,0.61,76.5,"363,141.00","27,780,286.50","27,780,286.50",Consumer Discretionary,"2,536,763.00",US5486611073,New York Stock Exchange Inc.
MCD,MCDONALDS CORP,Equity,0.99,127.51,"357,782.00","45,620,782.82","45,620,782.82",Consumer Discretionary,"2,550,707.00",US5801351017,New York Stock Exchange Inc.
NKE,NIKE INC CLASS B,Equity,0.69,59.49,"535,673.00","31,867,186.77","31,867,186.77",Consumer Discretionary,"2,640,147.00",US6541061031,New York Stock Exchange Inc.
PCLN,PRICELINE GROUP INC/THE,Equity,0.57,"1,336.39","19,688.00","26,310,846.32","26,310,846.32",Consumer Discretionary,"2,779,063.00",US7415034039,NASDAQ
